0,1,2,3,4,5,6,7,y
2,3,3855,53,76,541027,18,9728,0
3,3,2463,154,464,2196732,54,15978,1
0,1,2373,60,237,1798355,47,4914,2
2,1,2477,251,172,3226327,6,13517,1
2,3,3864,60,24,4884313,66,1698,0
3,1,1382,275,241,756724,9,15727,1
0,1,1704,129,204,3483837,68,15968,1
0,3,3389,209,358,2097539,23,6431,2
2,1,994,257,39,1437052,43,2431,0
1,5,3906,79,368,2802133,51,155,0
2,5,3185,66,347,3538553,72,11795,2
2,5,2907,48,340,3048582,25,5868,2
2,5,3471,298,436,3932067,80,9936,2
2,3,974,27,325,4495445,35,9975,1
3,3,1988,229,495,4386316,17,431,1
0,3,543,253,305,697084,18,10978,1
3,5,1596,292,458,4358080,27,4406,0
3,5,3219,83,422,2482498,15,5968,0
3,1,2019,119,339,3105379,81,1366,1
2,1,1144,189,229,767230,69,5504,1
1,5,2461,41,386,2100678,80,10944,0
0,5,2667,243,488,2369029,15,13157,2
1,5,1875,291,156,4507738,42,4124,0
3,5,812,34,268,37051,34,4854,0
3,1,2373,288,301,4678202,48,14861,1
1,5,99,235,308,3667279,83,15634,0
1,1,3479,66,152,3437005,8,956,1
1,5,2825,189,490,3853659,10,14940,0
3,5,955,241,434,2701502,5,7671,0
3,5,3025,296,244,3328708,48,712,0
0,1,613,73,124,4599798,26,13657,1
0,1,832,241,374,4568994,86,6768,1
3,3,2582,298,99,3079921,23,15027,0
1,5,3205,222,217,2023862,62,8704,0
1,3,3926,267,173,3988575,13,11144,1
0,3,3759,27,490,747447,9,15623,2
3,1,2090,184,93,678551,20,12922,0
0,1,1881,238,86,3596908,92,992,1
0,3,633,235,170,1213740,57,15001,1
2,5,1369,93,14,498165,24,8399,0
2,1,285,255,494,3733529,33,6465,1
2,5,2153,119,87,1719340,20,14188,0
1,5,1992,263,100,2561390,60,3359,0
3,3,409,97,96,1274871,48,1376,0
3,3,1980,81,279,1036702,64,10959,1
3,3,159,39,113,1886005,30,10910,1
3,3,241,181,461,3094348,73,10810,1
2,1,953,186,496,979536,17,11634,1
1,1,1166,148,348,606743,14,2156,1
1,3,911,203,184,741599,19,13719,1
2,1,2665,195,63,2247928,71,4849,0
1,3,1133,227,397,1198678,59,8889,1
2,5,699,173,487,2487179,67,11564,2
3,5,88,170,220,2958135,97,2988,0
2,5,3661,22,104,4420,44,2533,2
3,3,3170,98,232,4736332,32,12483,1
3,5,3541,51,18,3474135,11,11148,0
0,1,686,219,62,1014368,2,11267,1
2,5,1086,238,86,2641905,90,1425,0
0,5,85,284,215,4639952,68,15979,2
2,5,2198,288,325,4730244,17,7906,2
2,1,3915,260,311,2407967,81,10065,1
0,3,3207,217,319,3428043,92,294,2
0,1,3637,149,339,1266777,94,13921,2
2,3,3344,289,121,1309396,40,2398,1
1,3,1411,43,360,1236340,87,14823,1
3,5,2033,27,174,59541,46,9109,0
0,3,215,66,288,2107622,88,14485,1
3,1,2480,121,36,2666748,93,15110,0
1,1,1929,14,79,2233821,4,11103,0
1,3,3497,191,227,4357164,38,529,1
1,5,3592,22,459,3080676,63,10704,0
0,5,2887,294,374,1099053,29,14550,2
1,1,3763,268,198,2730701,19,1985,1
0,5,80,99,342,627754,91,14303,2
1,3,3496,113,444,296215,29,5807,1
3,3,60,195,315,2561971,35,11615,1
3,1,2061,259,133,3601867,70,11263,1
2,3,3423,264,28,4265864,23,11434,0
3,1,2193,85,266,780680,46,137,1
2,3,3311,117,305,3932294,44,9482,1
3,1,2550,165,425,3597436,48,8814,1
0,5,2289,91,31,3571714,52,9055,2
3,3,535,86,377,3485634,8,228,1
2,3,1339,267,486,1238087,55,9967,1
2,1,1497,136,459,1979649,66,212,0
1,1,3249,291,49,2885112,77,2690,0
0,3,2335,97,47,3255534,40,9247,2
3,1,1993,213,57,4822571,85,15579,0
1,3,3476,25,192,1084685,31,2398,1
3,5,2013,160,84,1367528,48,2471,0
3,1,3233,263,218,2834304,61,10997,1
1,3,1901,197,192,2474139,52,4348,1
1,5,1519,41,444,2604927,38,4192,0
1,5,1416,280,116,1386140,91,12800,0
1,3,3266,14,197,3568850,36,11983,1
1,1,3186,178,273,1419167,87,4553,1
3,3,3368,190,95,2562854,55,1267,0
1,5,2832,187,333,3213624,85,2524,0
0,3,1040,152,340,1153007,13,979,1
2,1,3611,257,465,416162,37,8008,1
1,5,874,136,146,1620884,47,8558,0
1,3,1512,272,355,3352066,90,1552,1
3,1,2203,49,395,2906745,71,470,1
1,5,2278,264,345,4223042,22,13630,0
1,1,2281,152,104,3548407,39,15890,1
1,5,275,249,335,4252457,87,5880,0
3,3,826,237,254,3885036,58,14097,1
1,1,2887,207,478,4256313,30,4408,1
2,5,1162,74,99,2984130,18,1499,0
3,1,737,20,68,485469,18,14551,0
2,1,579,117,412,3843640,74,5861,1
3,3,3492,35,37,3465143,39,8669,0
1,1,1021,160,81,4991533,94,7921,0
2,5,985,230,279,4267246,26,8638,2
3,5,1472,246,33,2216217,71,13577,0
0,5,2203,246,121,1325453,7,9037,2
1,5,1344,228,309,4641743,69,156,0
3,3,2048,160,494,3536054,65,4099,1
0,1,2928,132,65,1569366,46,8339,2
3,3,1576,153,483,683286,18,1953,1
0,1,728,198,232,685143,13,7699,1
1,1,3646,264,129,608648,25,3620,1
2,1,2946,77,188,3517250,8,11543,1
0,3,3153,113,297,4485735,74,5426,2
3,1,2490,168,443,1398636,32,92,1
1,3,89,99,434,1530275,17,6435,1
0,5,2757,265,459,1665069,79,1627,2
3,5,3339,229,290,233321,79,12432,0
3,1,3852,18,381,138837,48,6115,1
3,3,3078,21,198,445842,63,5935,1
0,5,1155,253,75,745067,40,12525,2
0,3,894,191,307,2240031,84,8626,1
0,3,1793,293,458,2108356,15,13156,1
2,1,2298,108,429,103903,99,11713,1
0,5,496,206,258,416874,6,3627,2
0,1,3965,235,85,4976279,94,3288,2
0,1,3549,112,146,1608850,63,5294,2
2,5,3159,115,173,2963906,8,9938,2
0,5,1284,67,242,1930827,95,2184,2
3,3,2541,87,264,4063175,32,3942,1
0,5,1400,84,485,2672744,45,10778,2
3,3,2858,51,303,1901600,52,4371,1
3,3,276,190,426,3467420,79,5826,1
3,3,97,42,179,3507319,82,10634,1
2,5,3139,80,326,1613850,13,14235,2
2,1,3009,65,183,4531543,24,12855,1
2,3,1512,114,479,1141170,40,15440,1
0,1,1880,209,354,351425,14,5878,1
3,1,3829,110,454,2076904,92,3865,1
2,5,236,265,27,2923329,75,345,0
2,1,2442,83,79,503939,70,463,0
0,1,2321,180,347,1223196,62,6006,2
2,5,2927,152,125,4337057,89,10237,2
0,3,2585,175,89,2332499,61,6328,2
1,1,1982,270,24,3567343,1,14366,0
2,5,2974,230,185,2784993,89,6718,2
1,1,898,92,465,4813585,66,15394,1
0,1,2082,191,278,2369410,32,8245,2
3,3,1302,19,128,827278,13,227,1
2,1,1463,13,308,740026,33,8987,1
0,5,1028,290,197,1344316,32,4404,2
3,1,1662,224,66,2726527,56,8893,0
3,3,1066,107,208,4450339,24,15474,1
1,3,2285,110,26,347990,91,5964,0
0,5,1931,18,443,1886249,4,5532,2
3,3,319,70,297,3837813,88,12131,1
2,1,1680,155,415,1448839,23,15426,1
2,3,359,72,64,1578127,29,3321,0
1,5,3253,130,450,2521908,98,6737,0
3,3,2093,235,278,2752691,21,15621,1
0,3,1624,114,312,3615670,30,10724,1
2,3,1145,269,96,2555137,90,5442,0
3,5,3914,264,327,28690,20,339,0
3,3,2942,216,447,3214274,16,9044,1
1,3,1745,37,38,341716,67,10772,0
2,1,3308,179,31,4746059,49,14359,0
2,5,2583,85,330,771878,58,8475,2
0,3,3312,125,294,656408,44,457,2
2,5,1495,78,57,2266202,25,743,0
0,3,2217,243,14,514672,23,1219,2
2,3,269,10,259,1000078,59,12899,1
1,3,102,176,172,4031272,1,10719,1
2,1,1807,227,211,705582,97,8673,1
0,1,1524,282,476,877038,15,7832,1
0,1,3533,260,110,1614511,81,13906,2
1,5,1716,183,80,1104183,98,10786,0
2,5,1310,179,439,1500202,81,9224,2
2,1,2855,255,172,3168724,52,11402,1
1,5,2835,99,182,1357742,58,3094,0
2,3,769,58,150,827580,41,5580,1
2,3,455,159,147,2451020,44,5042,1
0,3,2705,141,75,4057926,4,3974,2
2,1,3118,68,207,4434494,77,7020,1
2,5,2519,208,337,2107040,68,3362,2
1,1,2809,224,237,1793602,7,13115,1
1,5,2344,58,290,4103391,46,4368,0
3,3,121,241,181,4630717,9,14109,1
0,1,1903,256,325,1271008,87,1738,1
2,5,2282,248,440,2459237,33,517,2
2,5,2103,177,49,2377629,33,10858,0
3,3,1279,57,16,561643,84,9587,0
2,1,1617,60,183,231487,4,2472,1
0,1,3732,107,160,4849278,65,7329,2
3,1,3003,225,220,4662423,34,14912,1
0,3,436,186,311,2872042,91,4557,1
3,1,1841,89,95,4444738,85,14654,0
3,3,748,194,406,592952,88,4771,1
1,3,3197,36,262,4805745,79,5421,1
0,3,1250,204,30,3764632,99,9253,1
2,5,876,223,266,3968445,64,7591,2
2,1,1872,123,388,1305925,25,9919,1
0,1,398,251,412,951128,55,11939,1
2,3,1328,133,390,3984190,9,14835,1
2,3,3958,85,453,2549965,17,13139,1
0,1,3823,205,42,3975603,21,12308,2
3,3,357,53,269,4847936,60,10134,1
0,1,3466,195,243,2327837,13,13898,2
3,5,1200,255,12,4522912,3,13729,0
2,3,2010,93,356,136024,68,11111,1
2,1,2384,216,317,3072536,4,12592,1
2,3,815,160,498,4378577,92,1536,1
1,1,774,165,236,2742894,7,11581,1
3,1,2859,25,293,4319748,26,14511,1
1,3,1669,174,79,375319,75,9658,0
1,5,3608,154,463,2402756,24,13099,0
0,1,432,46,448,3300596,10,11088,1
1,1,3527,54,322,2260970,13,9599,1
0,1,2485,215,373,2578153,44,12302,2
0,5,574,71,480,3146743,39,12902,2
1,5,3678,28,263,3982917,19,9633,0
3,3,2736,16,490,1206605,51,9820,1
3,5,3035,258,153,606829,19,3799,0
3,3,3747,126,33,1434414,76,11867,0
3,3,325,77,462,2261100,52,8109,1
3,5,2597,43,434,717087,86,2553,0
1,3,2814,203,243,1096622,47,7905,1
1,5,386,64,342,3685833,30,13428,0
2,3,2023,275,184,4155238,46,11379,1
3,5,3029,51,341,1059335,76,7105,0
1,5,530,240,334,4477952,93,13956,0
2,3,960,19,366,2368803,21,11151,1
3,1,2046,137,168,1070626,75,10906,1
0,3,3394,188,357,2496188,48,449,2
2,5,3179,202,357,1974915,62,4432,2
1,1,1401,101,295,487383,58,12199,1
0,3,2083,240,27,3246881,18,10475,2
0,3,1804,87,53,3946747,59,14669,1
0,3,158,94,164,2329481,91,1589,1
2,1,3400,39,364,2674361,48,15035,1
1,5,3807,222,419,3585443,63,15076,0
0,3,377,58,386,3137938,12,8478,1
3,3,1849,274,240,2653880,87,7235,1
0,3,364,154,380,4119308,34,4960,1
0,3,3595,78,325,4834107,61,9169,2
2,3,1184,67,411,2426595,87,4559,1
2,5,2796,194,234,3891549,53,6101,2
1,5,830,71,226,1010589,25,6202,0
3,3,3350,175,65,1689367,62,8661,0
2,1,1570,180,40,4497389,4,4174,0
0,5,205,72,366,4153225,94,2445,2
1,1,1546,156,68,4937623,94,8902,0
0,5,1774,170,389,4271358,13,10865,2
0,3,3393,150,395,2599924,42,4000,2
2,5,936,106,362,570503,49,499,0
1,3,3123,230,432,3988636,78,429,1
3,5,2855,52,454,2257397,56,15084,0
3,3,771,117,244,1452187,47,14751,1
2,3,3632,275,116,3624687,8,9492,1
2,3,962,104,200,1993719,55,7335,1
1,3,3407,271,489,256931,88,10701,1
3,1,920,80,27,1209572,18,11240,0
3,3,62,228,410,1699875,35,12693,1
3,1,2705,30,235,4185094,89,2351,1
0,1,547,101,176,765948,81,7760,1
3,3,1806,136,80,825026,32,5842,0
0,1,2335,89,371,4461112,24,8968,2
1,5,1167,247,63,455377,7,9709,0
0,3,3459,191,254,653692,13,10970,2
1,1,2878,34,492,4134411,91,11394,1
3,3,1244,165,359,2955563,69,15455,1
3,3,2054,14,85,2639681,90,7266,0
1,3,2703,129,44,2930795,42,11762,0
2,1,2758,286,276,3734488,31,4955,1
1,5,1697,27,326,3089413,74,15816,0
2,5,1640,207,309,32346,26,6049,2
0,1,2946,66,130,3752212,86,11596,2
0,3,3033,102,333,4561899,76,14858,2
0,1,1540,28,34,4927788,32,8657,1
3,1,2725,202,441,1938916,91,7172,1
0,1,192,246,169,3295742,97,649,1
2,3,1274,286,93,1885175,52,7338,0
0,1,3301,236,123,823805,20,11316,2
1,3,2811,242,232,2078668,40,13677,1
1,1,3485,49,397,1903151,59,14845,1
3,5,2576,162,175,3148744,77,15636,0
1,1,614,136,200,964813,14,12416,1
2,1,2568,246,184,532562,44,7971,1
0,5,2481,64,10,3123895,86,1617,2
3,3,1765,181,396,4211052,82,15160,1
0,3,3023,118,238,1462967,48,1144,2
0,1,466,193,95,2751728,93,11185,1
2,5,1898,207,71,2525497,43,13558,0
1,3,2405,96,329,2093332,16,12395,1
1,1,2746,210,410,3922070,35,9689,1
0,5,1767,284,391,4612010,53,9734,2
3,3,1440,220,215,893055,34,10913,1
